	HSBC	CLP	CK
1	64.333	32.167	55.75
2	62.667	31.667	54.75
3	62.833	31.833	54.25
4	64.667	31.917	57.25
5	68.333	32	61.5
6	68.667	32.583	61.25
7	68	32.667	60.75
8	68.667	33.167	61.25
9	66.167	31.917	58
10	67	31.417	57
11	65.333	31.25	57
12	67.333	31.25	59
13	67.667	30.833	59.25
14	68.333	30.5	58.5
15	66.667	29.833	56.25
16	65.667	29.583	54.75
17	64.167	29.083	53.5
18	64.167	29.583	54.25
19	65	30.167	55.5
20	62.833	29.25	53.5
21	64.333	29.333	53.75
22	65.667	29.417	54.25
23	64.333	29.25	53
24	64.333	29.25	51.5
25	64.667	30	51.5
26	63	29.833	49.8
27	62.667	30.167	49
28	62.833	30.75	49.4
29	61.833	30.083	47.9
30	62.167	29.583	49
31	64	30.5	50.5
32	64.5	30.167	51
33	64.5	30.167	51
34	64.5	30.167	51
35	64.5	30.167	51
36	66	29.583	49.4
37	65.333	29.667	49.6
38	68.667	30.083	50.5
39	70.333	30.333	51.75
40	71	30.167	51.25
41	72.667	30.417	52.75
42	74.333	29.583	54.5
43	73	30	53.5
44	73	30.167	53
45	73	30.083	52.75
46	76	30	53.75
47	75	30.333	54.25
48	77	31.583	55.75
49	79	31.75	57.25
50	78	31.333	56.75
51	79	31.583	57.5
52	79	31.583	59.75
53	79.333	31.417	60
54	80.333	30.917	60.75
55	78.333	30.083	59
56	81.333	31.667	61.25
57	80.667	31.583	62
58	80	31.25	61.75
59	77.667	30.333	59.5
60	79	30.75	59.25
61	80.333	30.25	57
62	80	30.583	56
63	81.333	31.083	58.75
64	81	31	59
65	82.667	31.25	60
66	82.667	31.25	60
67	82.667	31.25	60
68	82.667	31.25	60
69	87.667	31.417	63.5
70	89.667	30.833	64
71	90	31	66.25
72	88.667	30.75	64.75
73	90	30.75	65.5
74	89.333	31	64.75
75	90	30.833	64.75
76	92.333	31.417	67.25
77	93.333	32.25	69
78	92.333	31.75	66.75
79	92.667	32.333	68
80	94.667	32.917	69.5
81	94.333	32.5	67.75
82	94.667	33.583	69.5
83	96	34.917	70.75
84	95	34.5	69.75
85	96	34.75	69
86	96	34.667	70.5
87	95.333	34.083	70.25
88	97	34.333	71.75
89	94.667	34.917	72
90	94	34	71.5
91	90	32.333	69
92	90	33.25	70.5
93	90	33.5	69.25
94	89.667	34.5	69.5
95	90	34.5	70.25
96	88.667	33.083	68.75
97	86.667	33.25	67.75
98	86.667	32.667	66.75
99	85.667	32.25	64.5
100	85	32.75	63.75
101	85	32.167	62.5
102	86.333	32.083	63.75
103	85.333	31.667	63.75
104	85	31.75	64.5
105	86	31.333	64.75
106	84.667	31.167	63
107	86	31.25	63.75
108	88	31.083	64.5
109	89.667	31.083	64.75
110	89.667	30.917	64.25
111	89	30.917	63.5
112	92.333	31.5	64.75
